File: 2000 grafi
CPU: 61.6% | Memory: 2322.85 MB
CPU: 37.5% | Memory: 2323.14 MB
CPU: 56.2% | Memory: 2323.14 MB
CPU: 53.0% | Memory: 2323.14 MB
CPU: 57.8% | Memory: 2323.14 MB
CPU: 64.1% | Memory: 2323.14 MB
CPU: 38.4% | Memory: 2323.44 MB
CPU: 43.1% | Memory: 2323.44 MB
CPU: 51.5% | Memory: 2323.44 MB
CPU: 62.5% | Memory: 2323.50 MB
CPU: 54.7% | Memory: 2323.50 MB
CPU: 61.6% | Memory: 2323.79 MB
CPU: 93.8% | Memory: 2323.79 MB
CPU: 56.9% | Memory: 2323.79 MB
CPU: 51.6% | Memory: 2323.79 MB
CPU: 73.4% | Memory: 2326.88 MB
CPU: 81.8% | Memory: 2356.44 MB
CPU: 56.2% | Memory: 2394.76 MB
CPU: 67.2% | Memory: 2432.06 MB
CPU: 63.1% | Memory: 2468.36 MB
CPU: 46.1% | Memory: 2495.59 MB
CPU: 68.8% | Memory: 2532.87 MB
CPU: 48.4% | Memory: 2538.54 MB
CPU: 56.2% | Memory: 2538.54 MB
CPU: 46.9% | Memory: 2538.54 MB
CPU: 36.9% | Memory: 2538.54 MB
CPU: 44.6% | Memory: 2538.54 MB
CPU: 60.9% | Memory: 2538.73 MB
CPU: 60.9% | Memory: 2538.73 MB
CPU: 64.1% | Memory: 2538.73 MB
CPU: 41.5% | Memory: 2538.73 MB
CPU: 96.9% | Memory: 2539.74 MB
CPU: 62.1% | Memory: 2539.82 MB
CPU: 34.4% | Memory: 2539.82 MB
CPU: 43.1% | Memory: 2539.82 MB
CPU: 40.6% | Memory: 2539.82 MB
CPU: 36.9% | Memory: 2539.82 MB
CPU: 41.5% | Memory: 2539.82 MB
CPU: 62.5% | Memory: 2539.82 MB
CPU: 54.7% | Memory: 2539.82 MB
CPU: 66.2% | Memory: 2539.82 MB
CPU: 44.6% | Memory: 2539.82 MB
CPU: 46.1% | Memory: 2539.82 MB
CPU: 71.9% | Memory: 2539.82 MB
CPU: 101.6% | Memory: 2539.82 MB
CPU: 93.8% | Memory: 2539.82 MB
CPU: 90.7% | Memory: 2539.82 MB
CPU: 89.1% | Memory: 2539.82 MB
CPU: 93.8% | Memory: 2539.98 MB
CPU: 92.2% | Memory: 2539.98 MB
CPU: 92.4% | Memory: 2539.98 MB
CPU: 112.5% | Memory: 2539.98 MB
CPU: 87.7% | Memory: 2540.26 MB
CPU: 86.2% | Memory: 2540.26 MB
CPU: 89.1% | Memory: 2540.26 MB
CPU: 87.5% | Memory: 2540.26 MB
CPU: 93.8% | Memory: 2540.51 MB
CPU: 90.7% | Memory: 2540.51 MB
CPU: 87.7% | Memory: 2540.51 MB
CPU: 90.7% | Memory: 2540.51 MB
CPU: 67.7% | Memory: 2539.78 MB
CPU: 92.4% | Memory: 2539.78 MB
CPU: 93.8% | Memory: 2539.78 MB
CPU: 96.9% | Memory: 2539.78 MB
CPU: 85.9% | Memory: 2539.82 MB
CPU: 87.5% | Memory: 2539.82 MB
CPU: 96.9% | Memory: 2539.82 MB
CPU: 100.0% | Memory: 2539.82 MB
CPU: 92.4% | Memory: 2539.82 MB
CPU: 90.7% | Memory: 2539.82 MB
CPU: 109.4% | Memory: 2540.36 MB
CPU: 79.7% | Memory: 2540.41 MB
