File: prefix_log_2000.csv (46452 nodi)
Prova 1
CPU: 60.9% | Memory: 1221.18 MB
CPU: 75.4% | Memory: 1221.18 MB
CPU: 63.1% | Memory: 1221.18 MB
CPU: 46.1% | Memory: 1221.18 MB
CPU: 53.8% | Memory: 1221.18 MB
CPU: 55.4% | Memory: 1221.18 MB
CPU: 67.7% | Memory: 1221.18 MB
CPU: 73.9% | Memory: 1221.20 MB
CPU: 38.4% | Memory: 1221.20 MB
CPU: 55.4% | Memory: 1221.20 MB
CPU: 70.8% | Memory: 1221.20 MB
CPU: 78.1% | Memory: 1221.20 MB
CPU: 67.7% | Memory: 1221.20 MB
CPU: 60.0% | Memory: 1221.20 MB
CPU: 50.8% | Memory: 1221.20 MB
CPU: 50.8% | Memory: 1221.21 MB
CPU: 60.0% | Memory: 1221.21 MB
CPU: 57.8% | Memory: 1221.22 MB
CPU: 87.5% | Memory: 1221.22 MB
CPU: 103.1% | Memory: 1221.22 MB
CPU: 73.8% | Memory: 1221.23 MB
CPU: 90.8% | Memory: 1221.28 MB
CPU: 73.8% | Memory: 1221.30 MB
CPU: 39.1% | Memory: 1221.30 MB
CPU: 112.5% | Memory: 1221.32 MB
CPU: 57.8% | Memory: 1221.32 MB
CPU: 58.4% | Memory: 1221.32 MB
CPU: 49.3% | Memory: 1221.32 MB
CPU: 43.1% | Memory: 1221.32 MB
CPU: 55.4% | Memory: 1221.34 MB
CPU: 76.6% | Memory: 1221.35 MB
CPU: 49.2% | Memory: 1221.35 MB
CPU: 53.9% | Memory: 1221.35 MB
CPU: 48.4% | Memory: 1221.35 MB
CPU: 61.5% | Memory: 1221.36 MB
CPU: 49.3% | Memory: 1221.36 MB
CPU: 50.8% | Memory: 1221.36 MB
CPU: 60.9% | Memory: 1221.36 MB
CPU: 46.1% | Memory: 1221.37 MB
CPU: 52.3% | Memory: 1221.37 MB
CPU: 46.1% | Memory: 1221.37 MB
CPU: 46.1% | Memory: 1221.37 MB
CPU: 44.6% | Memory: 1221.40 MB
CPU: 59.4% | Memory: 1221.40 MB
CPU: 75.4% | Memory: 1221.40 MB
CPU: 48.4% | Memory: 1221.40 MB
CPU: 52.3% | Memory: 1221.40 MB
CPU: 44.6% | Memory: 1221.41 MB
CPU: 53.8% | Memory: 1221.42 MB
CPU: 84.4% | Memory: 1221.71 MB
CPU: 64.7% | Memory: 1221.71 MB
CPU: 50.8% | Memory: 1221.71 MB
CPU: 44.6% | Memory: 1221.72 MB
CPU: 44.6% | Memory: 1221.72 MB
CPU: 73.4% | Memory: 1221.72 MB
CPU: 84.4% | Memory: 1221.73 MB
CPU: 68.8% | Memory: 1221.73 MB
CPU: 59.4% | Memory: 1221.73 MB
CPU: 75.4% | Memory: 1221.73 MB
CPU: 70.3% | Memory: 1221.74 MB
CPU: 51.6% | Memory: 1221.74 MB
CPU: 73.4% | Memory: 1221.89 MB
CPU: 73.9% | Memory: 1221.89 MB
CPU: 61.5% | Memory: 1221.89 MB
CPU: 50.8% | Memory: 1221.90 MB
CPU: 50.8% | Memory: 1221.90 MB
CPU: 69.2% | Memory: 1221.91 MB
CPU: 39.1% | Memory: 1221.91 MB
CPU: 53.9% | Memory: 1221.91 MB
CPU: 76.9% | Memory: 1221.93 MB
CPU: 58.4% | Memory: 1221.93 MB
CPU: 87.7% | Memory: 1221.93 MB
CPU: 90.7% | Memory: 1221.95 MB
CPU: 75.4% | Memory: 1221.95 MB
CPU: 110.8% | Memory: 1221.95 MB
CPU: 76.6% | Memory: 1221.95 MB
CPU: 67.7% | Memory: 1221.95 MB
CPU: 73.9% | Memory: 1221.95 MB
CPU: 53.8% | Memory: 1221.95 MB
CPU: 45.3% | Memory: 1221.95 MB
CPU: 35.9% | Memory: 1221.95 MB
CPU: 53.8% | Memory: 1221.96 MB
CPU: 54.6% | Memory: 1221.98 MB
CPU: 39.1% | Memory: 1221.99 MB
CPU: 76.9% | Memory: 1221.99 MB
CPU: 64.1% | Memory: 1221.99 MB
CPU: 43.1% | Memory: 1222.01 MB
CPU: 46.9% | Memory: 1222.04 MB
CPU: 52.3% | Memory: 1222.18 MB
CPU: 146.2% | Memory: 1222.43 MB
CPU: 56.2% | Memory: 1222.44 MB
CPU: 60.0% | Memory: 1222.44 MB
CPU: 44.6% | Memory: 1222.44 MB
CPU: 56.9% | Memory: 1222.44 MB
CPU: 67.7% | Memory: 1222.44 MB
CPU: 42.2% | Memory: 1222.45 MB
CPU: 41.6% | Memory: 1222.45 MB
CPU: 42.6% | Memory: 1222.45 MB
CPU: 46.2% | Memory: 1222.45 MB
CPU: 46.9% | Memory: 1222.45 MB
CPU: 48.4% | Memory: 1222.45 MB
CPU: 69.2% | Memory: 1222.51 MB
CPU: 58.4% | Memory: 1222.52 MB
CPU: 38.5% | Memory: 1222.52 MB
CPU: 54.7% | Memory: 1222.52 MB
CPU: 56.9% | Memory: 1222.52 MB
CPU: 55.4% | Memory: 1222.52 MB
CPU: 60.9% | Memory: 1222.54 MB
CPU: 67.7% | Memory: 1222.54 MB
CPU: 79.7% | Memory: 1222.54 MB
CPU: 71.9% | Memory: 1222.54 MB
CPU: 66.2% | Memory: 1222.54 MB
CPU: 35.9% | Memory: 1222.54 MB
CPU: 60.0% | Memory: 1222.61 MB
CPU: 56.2% | Memory: 1222.61 MB
CPU: 62.1% | Memory: 1222.61 MB
CPU: 84.6% | Memory: 1222.61 MB
CPU: 60.0% | Memory: 1222.61 MB
CPU: 45.3% | Memory: 1222.61 MB
CPU: 73.8% | Memory: 1222.62 MB
CPU: 62.5% | Memory: 1222.65 MB
CPU: 64.7% | Memory: 1222.86 MB
CPU: 36.9% | Memory: 1222.99 MB
CPU: 49.2% | Memory: 1222.99 MB
CPU: 60.0% | Memory: 1223.00 MB
CPU: 58.4% | Memory: 1223.14 MB
CPU: 53.9% | Memory: 1223.18 MB
CPU: 43.1% | Memory: 1223.18 MB
CPU: 58.4% | Memory: 1223.20 MB
CPU: 45.3% | Memory: 1223.20 MB
CPU: 67.7% | Memory: 1223.20 MB
CPU: 81.5% | Memory: 1223.27 MB
CPU: 98.4% | Memory: 1223.34 MB
CPU: 78.4% | Memory: 1223.34 MB
CPU: 89.1% | Memory: 1223.34 MB
CPU: 64.7% | Memory: 1223.34 MB
CPU: 79.7% | Memory: 1223.34 MB
CPU: 75.4% | Memory: 1223.34 MB
CPU: 48.4% | Memory: 1223.34 MB
CPU: 42.2% | Memory: 1223.34 MB
CPU: 63.1% | Memory: 1223.34 MB
CPU: 58.4% | Memory: 1223.34 MB
CPU: 41.5% | Memory: 1223.34 MB
CPU: 45.3% | Memory: 1223.34 MB
CPU: 64.7% | Memory: 1223.34 MB
CPU: 56.2% | Memory: 1223.34 MB
CPU: 68.8% | Memory: 1223.36 MB
CPU: 60.9% | Memory: 1223.36 MB
CPU: 87.7% | Memory: 1223.42 MB
CPU: 55.4% | Memory: 1223.42 MB
CPU: 42.2% | Memory: 1223.42 MB
CPU: 56.9% | Memory: 1223.42 MB
CPU: 68.8% | Memory: 1223.42 MB
CPU: 57.0% | Memory: 1223.42 MB
CPU: 69.2% | Memory: 1223.42 MB
CPU: 52.3% | Memory: 1223.42 MB
CPU: 57.0% | Memory: 1223.42 MB
CPU: 68.8% | Memory: 1223.42 MB
CPU: 47.7% | Memory: 1223.42 MB
CPU: 16.9% | Memory: 1223.42 MB
CPU: 68.8% | Memory: 1223.43 MB
CPU: 73.4% | Memory: 1223.43 MB
CPU: 61.5% | Memory: 1223.43 MB
CPU: 44.6% | Memory: 1223.43 MB
CPU: 49.3% | Memory: 1223.43 MB
CPU: 69.2% | Memory: 1223.43 MB
CPU: 95.3% | Memory: 1223.45 MB
CPU: 69.2% | Memory: 1223.45 MB
CPU: 40.0% | Memory: 1223.47 MB
CPU: 24.6% | Memory: 1223.47 MB
CPU: 36.9% | Memory: 1223.47 MB
CPU: 27.7% | Memory: 1223.48 MB
CPU: 59.4% | Memory: 1223.48 MB
CPU: 69.3% | Memory: 1223.48 MB
CPU: 55.4% | Memory: 1223.48 MB
CPU: 65.6% | Memory: 1223.48 MB
CPU: 52.3% | Memory: 1223.48 MB
CPU: 59.4% | Memory: 1223.48 MB
CPU: 84.7% | Memory: 1223.48 MB
CPU: 92.3% | Memory: 1223.48 MB
CPU: 50.0% | Memory: 1223.48 MB
CPU: 60.0% | Memory: 1223.48 MB
CPU: 55.4% | Memory: 1223.48 MB
CPU: 41.5% | Memory: 1223.48 MB
CPU: 37.5% | Memory: 1223.49 MB
CPU: 41.5% | Memory: 1223.49 MB
CPU: 45.5% | Memory: 1223.49 MB
CPU: 81.2% | Memory: 1223.50 MB
CPU: 64.1% | Memory: 1223.50 MB
CPU: 49.2% | Memory: 1223.50 MB
CPU: 55.4% | Memory: 1223.50 MB
CPU: 49.2% | Memory: 1223.50 MB
CPU: 42.2% | Memory: 1223.50 MB
CPU: 29.2% | Memory: 1223.50 MB
CPU: 46.2% | Memory: 1223.50 MB
CPU: 39.1% | Memory: 1223.51 MB
CPU: 36.9% | Memory: 1223.51 MB
CPU: 51.6% | Memory: 1223.51 MB
CPU: 44.6% | Memory: 1223.51 MB
CPU: 57.8% | Memory: 1223.51 MB
CPU: 38.5% | Memory: 1223.51 MB
CPU: 29.2% | Memory: 1223.52 MB
CPU: 48.4% | Memory: 1223.52 MB
CPU: 32.3% | Memory: 1223.52 MB
CPU: 58.5% | Memory: 1223.53 MB
CPU: 36.9% | Memory: 1223.53 MB
CPU: 53.8% | Memory: 1223.53 MB
CPU: 44.6% | Memory: 1223.54 MB
CPU: 50.0% | Memory: 1223.50 MB
CPU: 32.3% | Memory: 1223.51 MB
CPU: 67.7% | Memory: 1223.51 MB
CPU: 51.6% | Memory: 1223.51 MB
CPU: 57.8% | Memory: 1223.59 MB
CPU: 37.5% | Memory: 1223.59 MB
CPU: 59.4% | Memory: 1223.59 MB
CPU: 40.0% | Memory: 1223.59 MB
CPU: 37.5% | Memory: 1223.59 MB
CPU: 89.3% | Memory: 1223.59 MB
CPU: 58.4% | Memory: 1223.59 MB
CPU: 93.8% | Memory: 1223.59 MB
CPU: 106.1% | Memory: 1223.60 MB
CPU: 64.7% | Memory: 1223.60 MB
CPU: 53.1% | Memory: 1223.60 MB
CPU: 70.7% | Memory: 1223.61 MB
CPU: 53.9% | Memory: 1223.61 MB
CPU: 55.4% | Memory: 1223.61 MB
CPU: 51.6% | Memory: 1223.61 MB
CPU: 73.4% | Memory: 1223.64 MB
CPU: 62.5% | Memory: 1223.64 MB
CPU: 63.1% | Memory: 1223.64 MB
CPU: 47.7% | Memory: 1223.64 MB
CPU: 43.1% | Memory: 1223.64 MB
CPU: 55.4% | Memory: 1223.64 MB
CPU: 46.9% | Memory: 1223.64 MB
CPU: 46.9% | Memory: 1223.64 MB
CPU: 67.7% | Memory: 1223.66 MB
CPU: 53.1% | Memory: 1223.66 MB
CPU: 63.1% | Memory: 1223.66 MB
CPU: 61.5% | Memory: 1223.66 MB
CPU: 64.7% | Memory: 1223.66 MB
CPU: 68.8% | Memory: 1223.66 MB
CPU: 50.0% | Memory: 1223.67 MB
CPU: 64.6% | Memory: 1223.67 MB
CPU: 53.9% | Memory: 1223.67 MB
CPU: 64.6% | Memory: 1223.68 MB
CPU: 75.0% | Memory: 1223.68 MB
CPU: 40.0% | Memory: 1223.68 MB
CPU: 73.8% | Memory: 1223.72 MB
CPU: 59.4% | Memory: 1223.72 MB
CPU: 81.5% | Memory: 1223.72 MB
CPU: 67.7% | Memory: 1223.72 MB
